"transcript_id" "gene_id" "gene_name"
"355" "ENSDART00000079692.4" "ENSDARG00000057096" "ndr1_g1t1"
"356" "ENSDART00000079778.4" "ENSDARG00000057173" "ifit8"
"357" "ENSDART00000079856.6" "ENSDARG00000057253" "pimr141_t1"
"358" "ENSDART00000079877.5" "ENSDARG00000057265" "pimr52_t1"
"359" "ENSDART00000080155.6" "ENSDARG00000057479" "hrh2b_g1t1"
"360" "ENSDART00000080346.4" "ENSDARG00000043398" "nitr2a_g1t1"
"361" "ENSDART00000080624.5" "ENSDARG00000077557" "nitr5"
"362" "ENSDART00000080637.2" "ENSDARG00000057886" "unknown.93"
"363" "ENSDART00000080704.7" "ENSDARG00000109301" "unknown.94"
"364" "ENSDART00000080717.5" "ENSDARG00000110751" "unknown.95"
"365" "ENSDART00000081199.5" "ENSDARG00000077898" "unknown.96"
"366" "ENSDART00000081208.5" "ENSDARG00000058351" "unknown.97"
"367" "ENSDART00000081351.6" "ENSDARG00000093477" "cyp46a1.5_t1"
